Rank,Name,Nationality,Position,Own Goals,Forced Turnovers,Defensive Pressure Applied,Defensive Pressure Directly Applied
14,Moutaz Neffati,TUN,DF,0,0,0,0
14,Ahmed Reda Tagnaouti,MAR,GK,0,0,0,0
14,Issa Diop,MAR,DF,0,4,22,3
14,Mohamed Amine Ben Hmida,TUN,DF,0,7,30,11
14,Sphephelo Sithole,RSA,MF,0,7,72,13
14,Hamdy Fathy,EGY,MF,0,6,82,18
14,Yehvann Diouf,SEN,GK,0,0,0,0
14,Anass Salah Eddine,MAR,DF,0,3,35,10
14,Ibrahim Adel,EGY,FW,0,2,4,2
14,Martin Experience,HAI,DF,0,26,91,26
14,Stephen Eustaquio,CAN,MF,0,16,91,15
14,Lamine Camara,SEN,MF,0,11,124,20
14,Karim Hafez,EGY,DF,0,4,36,13
14,Mohamed Salah,EGY,FW,0,18,150,9
14,Gilson Benchimol,CPV,FW,0,5,52,4
14,Dayne St Clair,CAN,GK,0,0,0,0
14,Johny Placide,HAI,GK,0,0,0,0
14,Antoine Mendy,SEN,DF,0,0,0,0
14,Augustine Boakye,GHA,MF,0,0,0,0
14,Tajon Buchanan,CAN,FW,0,29,136,32
14,Pathe Ciss,SEN,MF,0,3,11,5
14,Elias Saad,TUN,FW,0,6,53,3
14,Omar Marmoush,EGY,FW,0,27,109,11
14,Sabri Ben Hessen,TUN,GK,0,0,0,0
14,Christ Inao Oulai,CIV,MF,0,21,82,20
14,Aubrey Modiba,RSA,DF,0,12,67,14
14,Ahmed Fatouh,EGY,DF,0,24,49,9
14,Mory Diaw,SEN,GK,0,0,0,0
14,Laros Duarte,CPV,MF,0,13,97,4
14,Frantzdy Pierrot,HAI,FW,0,3,41,3
14,Brahim Diaz,MAR,FW,0,15,156,24
14,Mohamed Elshenawy,EGY,GK,0,0,0,0
14,Marvin Senaya,GHA,DF,0,34,89,24
14,Ricardo Goss,RSA,GK,0,0,0,0
14,Khalil Ayari,TUN,MF,0,0,0,0
14,Rani Khedira,TUN,MF,0,6,49,10
14,Yan Valery,TUN,DF,0,13,68,10
14,Ricardo Ade,HAI,DF,0,3,24,5
14,Yan Diomande,CIV,FW,0,20,121,20
14,Emam Ashour,EGY,MF,0,19,72,12
14,Achraf Hakimi,MAR,DF,0,19,93,30
14,Soufiane Rahimi,MAR,FW,0,5,73,11
14,Kelvin Pires,CPV,DF,0,0,0,0
14,Iliman Ndiaye,SEN,FW,0,6,41,8
14,Kevin Pina,CPV,MF,0,22,93,23
14,Bazoumana Toure,CIV,FW,0,2,38,2
14,Jonathan David,CAN,FW,0,45,227,21
14,Zizo,EGY,FW,0,4,14,2
14,Mahdy Soliman,EGY,GK,0,0,0,0
14,Lenny Joseph,HAI,FW,0,4,43,5
14,Guela Doue,CIV,DF,0,12,78,19
14,Azzedine Ounahi,MAR,MF,0,26,199,17
14,Derrick Luckassen,GHA,DF,0,2,8,4
14,Edouard Mendy,SEN,GK,0,0,0,0
14,Mohamed Hadj Mahmoud,TUN,MF,0,1,25,6
14,Themba Zwane,RSA,MF,0,2,12,0
14,Nabil Donga,EGY,MF,0,0,0,0
14,Alfie Jones,CAN,DF,0,0,0,0
14,Anis Slimane,TUN,MF,0,5,92,5
14,Pape Gueye,SEN,MF,0,7,51,10
14,Wilson Isidor,HAI,FW,0,7,88,1
14,Jean Kevin Duverne,HAI,DF,0,3,56,9
14,Adam Arous,TUN,DF,0,0,0,0
14,Nathan Saliba,CAN,MF,0,11,43,12
14,Ronwen Williams,RSA,GK,0,0,0,0
14,Cherif Ndiaye,SEN,FW,0,0,0,0
14,Dailon Livramento,CPV,FW,0,8,93,4
14,Prince Adu,GHA,FW,0,0,25,4
14,Mohanad Lashin,EGY,MF,0,23,156,42
14,Thabang Matuludi,RSA,DF,0,0,0,0
14,Emmanuel Agbadou,CIV,DF,0,4,28,8
14,Marawan Attia,EGY,MF,0,18,182,29
14,Wagner Pina,CPV,DF,0,4,19,2
14,Teboho Mokoena,RSA,MF,0,13,95,22
14,Ismael Saibari,MAR,MF,0,32,181,17
14,Ayoub El Kaabi,MAR,FW,0,2,25,7
14,Moussa Niakhate,SEN,DF,0,12,21,4
14,Kojo Peprah Oppong,GHA,DF,0,1,5,0
14,Ime Okon,RSA,DF,0,3,22,5
14,Promise David,CAN,FW,0,6,23,1
14,Christopher Operi,CIV,DF,0,4,20,3
14,Hannes Delcroix,HAI,DF,0,9,21,9
14,Ismael Kone,CAN,MF,0,8,25,5
14,Ismail Jakobs,SEN,DF,0,13,51,10
14,Ismael Gharbi,TUN,MF,0,3,62,9
14,Mostafa Zico,EGY,MF,0,15,192,31
14,Ruben Providence,HAI,FW,0,7,100,9
14,Chadi Riad,MAR,DF,0,7,30,12
14,Mohamed Kone,CIV,GK,0,0,0,0
14,Mouhib Chamakh,TUN,GK,0,0,0,0
14,Kwasi Sibo,GHA,MF,0,5,114,15
14,Lyle Foster,RSA,FW,0,1,25,1
14,Hossam Abdelmaguid,EGY,DF,0,4,11,3
14,Kamogelo Sebelebele,RSA,FW,0,1,4,0
14,Mahmoud Saber,EGY,MF,0,3,10,1
14,Caleb Yirenkyi,GHA,MF,0,12,128,14
14,Ali Abdi,TUN,DF,0,22,102,24
14,Munir El Kajoui,MAR,GK,0,0,0,0
14,Pape Matar Sarr,SEN,MF,0,3,25,3
14,Oswin Appollis,RSA,FW,0,12,115,9
14,Jayden Nelson,CAN,FW,0,1,2,0
14,Tani Oluwaseyi,CAN,FW,0,11,104,20
14,Yannick Semedo,CPV,MF,0,3,12,1
14,Telmo Arcanjo,CPV,MF,0,6,27,1
14,Nicolas Jackson,SEN,FW,0,10,106,13
14,Alexandre Pierre,HAI,GK,0,0,0,0
14,Bilal El Khannouss,MAR,MF,0,15,127,19
14,Hamza Abdelkarim,EGY,FW,0,8,36,6
14,Carlens Arcus,HAI,DF,0,12,34,11
14,Odilon Kossounou,CIV,DF,0,2,15,6
14,Liam Millar,CAN,MF,0,3,44,12
14,Yasser Ibrahim,EGY,DF,0,21,46,24
14,Samukele Kabini,RSA,DF,0,0,0,0
14,Raed Chikhaoui,TUN,DF,0,0,0,0
14,Jean Michael Seri,CIV,MF,0,0,5,1
14,Elias Achouri,TUN,FW,0,1,19,6
14,Tarek Alaa,EGY,DF,0,0,0,0
14,Wilguens Paugain,HAI,DF,0,0,0,0
14,Neil El Aynaoui,MAR,MF,0,51,132,48
14,Bradley Cross,RSA,DF,0,0,0,0
14,Bamba Dieng,SEN,FW,0,2,15,0
14,Joseph Anang,GHA,GK,0,0,0,0
14,Niko Sigur,CAN,DF,0,4,39,9
14,Ousmane Diomande,CIV,DF,0,1,3,1
14,Mohamed Alaa,EGY,GK,0,0,0,0
14,Jonas Adjetey,GHA,DF,0,3,19,6
14,Ibrahim Mbaye,SEN,FW,0,2,41,6
14,Krepin Diatta,SEN,DF,0,7,44,13
14,Evidence Makgopa,RSA,FW,0,15,76,9
14,Woodensky Pierre,HAI,MF,0,0,0,0
14,Zakaria El Ouahdi,MAR,DF,0,0,3,1
14,Simon Adingra,CIV,FW,0,0,11,1
14,Jordan Ayew,GHA,FW,0,23,212,19
14,Danley Jean Jacques,HAI,MF,0,11,78,25
14,Ismaila Sarr,SEN,FW,0,18,157,11
14,Khuliso Mudau,RSA,DF,0,32,82,16
14,Christopher Bonsu Baah,GHA,FW,0,0,0,0
14,Mbekezeli Mbokazi,RSA,DF,0,9,49,16
14,Franck Kessie,CIV,MF,0,13,135,13
14,Rayan Elloumi,TUN,FW,0,0,0,0
14,Alphonso Davies,CAN,DF,0,1,4,0
14,Sebastian Tounekti,TUN,MF,0,1,33,1
14,Baba Rahman,GHA,DF,0,0,0,0
14,Aymen Dahmen,TUN,GK,0,0,0,0
14,Luc De Fougerolles,CAN,DF,0,17,41,22
14,Oumar Diakite,CIV,FW,0,3,11,1
14,Mathieu Choiniere,CAN,MF,0,2,19,2
14,Mortadha Ben Ouanes,TUN,DF,0,3,10,3
14,Thomas Partey,GHA,MF,0,5,52,14
14,Abdoulaye Seck,SEN,DF,0,1,3,1
14,Elye Wahi,CIV,FW,0,5,60,3
14,Nkosinathi Sibisi,RSA,DF,0,2,15,6
14,Nicolas Pepe,CIV,FW,0,19,97,15
14,Ayyoub Bouaddi,MAR,MF,0,23,113,36
14,Lawrence Ati Zigi,GHA,GK,0,0,0,0
14,Sadio Mane,SEN,FW,0,14,129,16
14,Markhus Lacroix,HAI,DF,0,0,0,0
14,Carl Sainte,HAI,MF,0,0,0,0
14,Benjamin Asare,GHA,GK,0,0,0,0
14,Tshepang Moremi,RSA,FW,0,1,18,1
14,Ali Ahmed,CAN,FW,0,18,113,12
14,Thapelo Maseko,RSA,FW,0,9,97,23
14,Louicius Deedson,HAI,FW,0,3,30,4
14,Redouane Halhal,MAR,DF,0,4,12,9
14,Ange Yoan Bonny,CIV,FW,0,7,123,7
14,Maxime Crepeau,CAN,GK,0,0,0,0
14,Brandon Thomas Asante,GHA,FW,0,3,28,0
14,Alistair Johnston,CAN,DF,0,12,52,16
14,Wilfried Singo,CIV,DF,0,13,24,12
14,Inaki Williams,GHA,FW,0,3,43,3
14,Khulumani Ndamane,RSA,DF,0,0,0,0
14,Kalidou Koulibaly,SEN,DF,0,3,21,5
14,Alban Lafont,CIV,GK,0,0,0,0
14,Richie Laryea,CAN,DF,0,22,79,28
14,Montassar Talbi,TUN,DF,0,5,17,6
14,Jayden Adams,RSA,MF,0,2,43,2
14,Gideon Mensah,GHA,DF,0,10,63,18
14,Joel Waterman,CAN,DF,0,0,0,0
14,Mohamed Abdelmoneim,EGY,DF,0,0,0,0
14,Jerome Opoku,GHA,DF,0,8,10,7
14,Idrissa Gana Gueye,SEN,MF,0,24,91,23
14,Josue Duverger,HAI,GK,0,0,0,0
14,Abdul Mumin,GHA,DF,0,0,0,0
14,Firas Chaouat,TUN,FW,0,0,18,0
14,Cyle Larin,CAN,FW,0,8,76,6
14,Moise Bombito,CAN,DF,0,4,11,2
14,Seko Fofana,CIV,MF,0,3,28,1
14,Habib Diarra,SEN,MF,0,12,73,14
14,Elliot Anderson,ENG,MF,0,34,191,60
14,Reece James,ENG,DF,0,5,66,18
14,Declan Rice,ENG,MF,0,11,120,18
14,Ante Budimir,CRO,FW,0,13,76,13
14,Rui Silva,POR,GK,0,0,0,0
14,Marc Guehi,ENG,DF,0,8,32,7
14,Alessandro Schoepf,AUT,MF,0,0,0,0
14,Joao Neves,POR,MF,0,19,192,28
14,Trevoh Chalobah,ENG,DF,0,0,1,0
14,Mark Flekken,NED,GK,0,0,0,0
14,Florian Grillitsch,AUT,MF,0,0,49,11
14,Goncalo Ramos,POR,FW,0,5,32,3
14,Teun Koopmeiners,NED,MF,0,8,44,9
14,Thomas Meunier,BEL,DF,0,17,48,9
14,Nikola Vlasic,CRO,MF,0,14,82,9
14,Guus Til,NED,MF,0,1,20,1
14,Anthony Gordon,ENG,FW,0,27,151,15
14,Kieran Tierney,SCO,DF,0,12,31,6
14,Ezri Konsa,ENG,DF,0,15,77,22
14,Romelu Lukaku,BEL,FW,0,5,56,1
14,Vitinha,POR,MF,0,19,124,13
14,Bukayo Saka,ENG,FW,0,7,85,21
14,Micky Van De Ven,NED,DF,0,8,87,13
14,Wout Weghorst,NED,FW,0,2,53,2
14,Petar Musa,CRO,FW,0,9,76,11
14,Ivan Toney,ENG,FW,0,2,21,4
14,Denzel Dumfries,NED,DF,0,24,74,8
14,Youri Tielemans,BEL,MF,0,19,120,24
14,Matheus Nunes,POR,MF,0,0,0,0
14,Donyell Malen,NED,FW,0,8,47,7
14,Justin Kluivert,NED,MF,0,2,12,0
14,Jude Bellingham,ENG,MF,0,22,234,31
14,Francisco Conceicao,POR,FW,0,9,35,4
14,Konrad Laimer,AUT,MF,0,19,149,32
14,Goncalo Inacio,POR,DF,0,0,0,0
14,Dominik Kotarski,CRO,GK,0,0,0,0
14,Ollie Watkins,ENG,FW,0,1,16,3
14,Josip Stanisic,CRO,DF,0,19,75,17
14,Ryan Gravenberch,NED,MF,0,11,54,15
14,Mats Wieffer,NED,DF,0,0,0,0
14,Nikola Moro,CRO,MF,0,0,0,0
14,Kevin De Bruyne,BEL,MF,0,14,145,13
14,Martin Baturina,CRO,MF,0,17,119,8
14,Nico Oreilly,ENG,DF,0,19,119,25
14,Thibaut Courtois,BEL,GK,0,0,0,0
14,Nuno Mendes,POR,DF,0,10,78,16
14,Bart Verbruggen,NED,GK,0,0,0,0
14,Timothy Castagne,BEL,DF,0,24,127,24
14,Jarell Quansah,ENG,DF,0,30,38,18
14,Jorrel Hato,NED,DF,0,1,23,4
14,Xaver Schlager,AUT,MF,0,3,76,24
14,David Alaba,AUT,DF,0,5,28,9
14,Dean Henderson,ENG,GK,0,0,0,0
14,Brian Brobbey,NED,FW,0,18,53,2
14,Francisco Trincao,POR,FW,0,2,12,1
14,Martin Erlic,CRO,DF,0,0,0,0
14,Frenkie De Jong,NED,MF,0,7,85,22
14,Alexis Saelemaekers,BEL,MF,0,4,25,1
14,Tijjani Reijnders,NED,MF,0,7,34,5
14,Eberechi Eze,ENG,MF,0,6,59,0
14,Rafael Leao,POR,FW,0,5,35,4
14,Marten De Roon,NED,MF,0,0,1,0
14,Mario Pasalic,CRO,MF,0,7,23,8
14,Andy Robertson,SCO,DF,0,13,47,5
14,Kobbie Mainoo,ENG,MF,0,0,0,0
14,Lutsharel Geertruida,NED,DF,0,0,0,0
14,Pedro Neto,POR,FW,0,9,86,8
14,Axel Witsel,BEL,MF,0,1,21,3
14,Virgil Van Dijk,NED,DF,0,10,11,4
14,James Trafford,ENG,GK,0,0,0,0
14,Jeremy Doku,BEL,FW,0,15,134,18
14,Quinten Timber,NED,MF,0,5,27,7
14,Michael Gregoritsch,AUT,FW,0,9,110,3
14,Renato Veiga,POR,DF,0,9,45,11
14,Joao Felix,POR,FW,0,23,99,14
14,Memphis Depay,NED,FW,0,0,31,2
14,Noni Madueke,ENG,FW,0,9,80,16
14,Duje Caleta Car,CRO,DF,0,0,0,0
14,Nathan Ake,NED,DF,0,8,19,4
14,Jan Paul Van Hecke,NED,DF,0,11,56,17
14,Morgan Rogers,ENG,MF,0,20,162,24
14,Diogo Dalot,POR,DF,0,2,13,3
14,Marco Pasalic,CRO,FW,0,5,40,7
14,Dan Burn,ENG,DF,0,1,1,0
14,Philipp Lienhart,AUT,DF,0,1,11,4
14,Malick Thiaw,GER,DF,0,3,7,3
14,Hans Vanaken,BEL,MF,0,12,145,8
14,Kevin Danso,AUT,DF,0,2,23,8
14,Diogo Costa,POR,GK,0,0,0,0
14,Crysencio Summerville,NED,FW,0,17,75,13
14,Dominik Livakovic,CRO,GK,0,0,0,0
14,Paul Wanner,AUT,MF,0,18,146,20
14,Djed Spence,ENG,DF,0,25,135,28
14,Marcus Rashford,ENG,FW,0,2,60,3
14,Nathaniel Brown,GER,DF,0,3,64,21
14,Ruben Neves,POR,MF,0,3,37,0
14,Nick Woltemade,GER,FW,0,0,6,1
14,Robin Roefs,NED,GK,0,0,0,0
14,Lucas Digne,FRA,DF,0,27,59,10
14,Arthur Theate,BEL,DF,0,3,10,6
14,Kylian Mbappe,FRA,FW,0,18,166,15
14,John Stones,ENG,DF,0,5,17,3
14,Nelson Semedo,POR,DF,0,6,31,3
14,Felix Nmecha,GER,MF,0,9,74,21
14,Ivan Perisic,CRO,FW,0,12,88,13
14,John Mcginn,SCO,MF,0,5,89,3
14,Orjan Nyland,NOR,GK,0,0,0,0
14,Dayot Upamecano,FRA,DF,0,17,73,32
14,Sasa Kalajdzic,AUT,FW,0,8,40,2
14,David Affengruber,AUT,DF,0,0,0,0
14,Jamie Leweling,GER,MF,0,2,15,4
14,Bruno Fernandes,POR,MF,0,27,247,20
14,Alexander Sorloth,NOR,FW,0,9,70,8
14,Ousmane Dembele,FRA,FW,0,28,257,16
14,Samu Costa,POR,DF,0,2,10,1
14,Deniz Undav,GER,FW,0,6,53,7
14,Leandro Trossard,BEL,FW,0,26,168,12
14,Mateo Kovacic,CRO,MF,0,7,95,16
14,Ngolo Kante,FRA,MF,0,0,0,0
14,Toni Fruk,CRO,MF,0,0,0,0
14,Bernardo Silva,POR,MF,0,5,37,6
14,Maximilian Beier,GER,FW,0,1,9,1
14,Martin Odegaard,NOR,MF,0,18,195,18
14,Adrien Rabiot,FRA,MF,0,14,143,38
14,Noa Lang,NED,FW,0,2,6,1
14,Luka Sucic,CRO,MF,0,1,7,0
14,Patrick Pentz,AUT,GK,0,0,0,0
14,Ruben Dias,POR,DF,0,12,27,6
14,Aleksandar Pavlovic,GER,MF,0,27,76,20
14,Brandon Mechele,BEL,DF,0,16,48,15
14,Jean Philippe Mateta,FRA,FW,0,1,23,2
14,Sander Berge,NOR,MF,0,9,101,17
14,Andrej Kramaric,CRO,FW,0,0,24,1
14,Marin Pongracic,CRO,DF,0,6,13,7
14,Florian Wiegele,AUT,GK,0,0,0,0
14,Goncalo Guedes,POR,FW,0,0,0,0
14,Pascal Gross,GER,MF,0,1,15,1
14,Marcus Thuram,FRA,FW,0,0,0,0
14,Assan Ouedraogo,GER,MF,0,0,0,0
14,Erling Haaland,NOR,FW,0,11,108,5
14,Maxence Lacroix,FRA,DF,0,1,31,13
14,Harry Kane,ENG,FW,0,25,262,22
14,Charles De Ketelaere,BEL,FW,0,19,146,18
14,Petar Sucic,CRO,MF,0,11,152,25
14,Jose Sa,POR,GK,0,0,0,0
14,Luka Modric,CRO,MF,0,16,48,12
14,Aurelien Tchouameni,FRA,MF,0,23,68,20
14,Jens Petter Hauge,NOR,MF,0,0,11,2
14,Stefan Posch,AUT,DF,0,10,103,29
14,Joao Cancelo,POR,DF,0,13,66,13
14,Michael Svoboda,AUT,DF,0,0,0,0
14,Florian Wirtz,GER,MF,0,17,123,18
14,Theo Hernandez,FRA,DF,0,26,57,11
14,Nico Schlotterbeck,GER,DF,0,18,7,6
14,Jorgen Strand Larsen,NOR,FW,0,8,56,4
14,Tomas Araujo,POR,DF,0,1,4,1
14,Amadou Onana,BEL,MF,0,25,26,9
14,Lucas Hernandez,FRA,DF,0,0,0,0
14,Cristiano Ronaldo,POR,FW,0,7,72,6
14,Waldemar Anton,GER,DF,0,1,13,3
14,Nathan Ngoy,BEL,DF,0,10,30,15
14,Cody Gakpo,NED,FW,0,15,127,7
14,Marcel Sabitzer,AUT,MF,0,26,137,10
14,Ibrahima Konate,FRA,DF,0,2,12,5
14,Leo Ostigard,NOR,DF,0,1,8,3
14,Dejan Ljubicic,AUT,MF,0,0,0,0
14,Henrik Falchener,NOR,DF,0,0,2,1
14,William Saliba,FRA,DF,0,14,28,14
14,Carney Chukwuemeka,AUT,MF,0,7,51,4
14,David Raum,GER,DF,0,18,29,8
14,Jordan Henderson,ENG,MF,0,0,4,0
14,Joaquin Seys,BEL,DF,0,3,30,2
14,Jamal Musiala,GER,MF,0,13,107,19
14,Kristian Thorstvedt,NOR,MF,0,0,38,5
14,Jules Kounde,FRA,DF,0,33,132,25
14,Sander Tangvik,NOR,GK,0,0,0,0
14,Grant Hanley,SCO,DF,0,2,11,2
14,Koni De Winter,BEL,DF,0,0,0,0
14,Angelo Stiller,GER,MF,0,1,7,1
14,Morten Thorsby,NOR,MF,0,0,33,3
14,Rayan Cherki,FRA,MF,0,11,119,10
14,Igor Matanovic,CRO,FW,0,6,49,10
14,Kristijan Jakic,CRO,DF,0,0,0,0
14,Alexander Nuebel,GER,GK,0,0,0,0
14,Thelo Aasgaard,NOR,MF,0,3,19,3
14,Zeno Debast,BEL,DF,0,0,0,0
14,Mike Maignan,FRA,GK,0,0,0,0
14,Nicolas Seiwald,AUT,MF,0,16,64,19
14,Oscar Bobb,NOR,MF,0,12,113,17
14,Mike Penders,BEL,GK,0,0,0,0
14,Andreas Schjelderup,NOR,MF,0,18,68,14
14,Phillip Mwene,AUT,DF,0,3,32,8
14,Kai Havertz,GER,FW,0,19,99,14
14,Malo Gusto,FRA,DF,0,4,31,13
14,Desire Doue,FRA,FW,0,14,202,23
14,Leroy Sane,GER,MF,0,10,84,15
14,Patrick Berg,NOR,MF,0,21,168,27
14,Craig Gordon,SCO,GK,0,0,0,0
14,Marcus Holmgren Pedersen,NOR,DF,0,7,50,12
14,Diego Moreira,BEL,MF,0,5,36,2
14,Robin Risser,FRA,GK,0,0,0,0
14,Jonathan Tah,GER,DF,0,5,27,9
14,Maxim De Cuyper,BEL,DF,0,18,77,19
14,Alexander Prass,AUT,MF,0,0,5,0
14,Josip Sutalo,CRO,DF,0,4,17,9
14,Torbjorn Heggem,NOR,DF,0,2,30,10
14,Antonio Nusa,NOR,FW,0,7,112,16
14,Brice Samba,FRA,GK,0,0,0,0
14,Nadiem Amiri,GER,MF,0,1,11,0
14,Alexander Schlager,AUT,GK,0,0,0,0
14,Marco Friedl,AUT,DF,0,0,4,1
14,Warren Zaire Emery,FRA,MF,0,2,49,14
14,Josko Gvardiol,CRO,DF,0,2,24,6
14,Joshua Kimmich,GER,DF,0,26,55,9
14,Julian Ryerson,NOR,FW,0,31,53,13
14,Sondre Langas,NOR,DF,0,1,1,1
14,Dodi Lukebakio,BEL,FW,0,6,67,3
14,Jordan Pickford,ENG,GK,0,0,0,0
14,Nicolas Raskin,BEL,MF,0,19,98,21
14,Luka Vuskovic,CRO,DF,0,0,3,2
14,Bradley Barcola,FRA,FW,0,21,134,25
14,Antonio Ruediger,GER,DF,0,5,14,4
14,Fredrik Aursnes,NOR,MF,0,8,63,20
14,Michael Olise,FRA,FW,0,50,289,32
14,Egil Selvik,NOR,GK,0,0,0,0
14,Romano Schmid,AUT,MF,0,14,142,18
14,Senne Lammens,BEL,GK,0,0,0,0
14,Leon Goretzka,GER,MF,0,3,20,2
14,Fredrik Andre Bjorkan,NOR,DF,0,2,21,2
14,Oliver Baumann,GER,GK,0,0,0,0
14,David Moller Wolfe,NOR,DF,0,13,70,22
14,Maghnes Akliouche,FRA,MF,0,0,8,2
14,Ivor Pandur,CRO,GK,0,0,0,0
14,Patrick Wimmer,AUT,FW,0,4,15,6
14,Matias Fernandez Pardo,BEL,FW,0,2,25,4
14,Manu Kone,FRA,MF,0,24,91,23
14,Anthony Ralston,SCO,DF,0,2,9,2
14,Manuel Neuer,GER,GK,0,0,0,0
14,Kristoffer Ajer,NOR,DF,0,12,29,8
14,Merchas Doski,IRQ,DF,0,4,65,25
14,Yazeed Abulaila,JOR,GK,0,0,0,0
14,Eom Jisung,KOR,MF,0,0,2,0
14,Mohannad Abutaha,JOR,MF,0,21,98,21
14,Ali Alipour,IRN,FW,0,2,13,4
14,Timothy Fayulu,COD,GK,0,0,0,0
14,Lee Donggyeong,KOR,MF,0,0,0,0
14,Hassan Kadish,KSA,DF,0,0,0,0
14,Saeid Ezatolahi,IRN,MF,0,22,96,22
14,Ali Jasim,IRQ,FW,0,27,58,8
14,Pico Lopes,CPV,DF,0,6,36,9
14,Nawaf Alaqidi,KSA,GK,0,0,0,0
14,Son Heungmin,KOR,FW,0,9,54,0
14,Akam Hashim,IRQ,DF,0,3,16,7
14,Rafik Belghali,ALG,DF,0,10,64,10
14,Boualem Khoukhi,QAT,DF,0,5,21,12
14,Keisuke Osako,JPN,GK,0,0,0,0
14,Zidane Iqbal,IRQ,MF,0,6,59,10
14,Payam Niazmand,IRN,GK,0,0,0,0
14,Rajaei Ayed,JOR,MF,0,0,0,0
14,Hassan Alhaydos,QAT,FW,0,8,46,1
14,Shogo Taniguchi,JPN,DF,0,3,11,4
14,Mohammed Muntari,QAT,FW,0,0,0,0
14,Mohamed Kanno,KSA,MF,0,10,84,14
14,Sultan Albrake,QAT,DF,0,2,50,4
14,Yoane Wissa,COD,FW,0,11,118,5
14,Mohammad Abuhasheesh,JOR,DF,0,0,7,2
14,Kim Moonhwan,KOR,DF,0,11,19,2
14,Marcio Rosa,CPV,GK,0,0,0,0
14,Mehdi Ghayedi,IRN,FW,0,3,13,2
14,Sidny Lopes Cabral,CPV,DF,0,22,77,9
14,Chancel Mbemba,COD,DF,0,9,23,12
14,Ryan Mendes,CPV,FW,0,24,102,14
14,Mohammad Abualnadi,JOR,DF,0,2,6,3
14,Ala Alhajji,KSA,MF,0,1,7,1
14,Paik Seungho,KOR,MF,0,2,31,5
14,Zaid Tahseen,IRQ,DF,0,1,6,2
14,Tahsin Mohammed,QAT,FW,0,0,0,0
14,Keito Nakamura,JPN,MF,0,9,80,11
14,Nawaf Bu Washl,KSA,DF,0,3,27,4
14,Amirmohammad Razaghinia,IRN,MF,0,0,0,0
14,Yusuf Abdurisag,QAT,FW,0,8,60,8
14,Fiston Mayele,COD,FW,0,3,23,0
14,Ramiz Zerrouki,ALG,MF,0,4,23,5
14,Jo Hyeonwoo,KOR,GK,0,0,0,0
14,Anis Hadj Moussa,ALG,FW,0,3,34,1
14,Matthieu Epolo,COD,GK,0,0,0,0
14,Mohammad Aldaoud,JOR,MF,0,0,1,0
14,Aissa Mandi,ALG,DF,0,14,19,6
14,Gael Kakuta,COD,FW,0,0,0,0
14,Abdulaziz Hatem,QAT,MF,0,1,20,0
14,Nadhir Benbouali,ALG,FW,0,6,19,4
14,Almoez Ali,QAT,FW,0,1,11,2
14,Munaf Younus,IRQ,DF,0,2,11,5
14,Theo Bongonda,COD,MF,0,1,19,2
14,Ramin Rezaeian,IRN,DF,0,9,82,10
14,Oh Hyeongyu,KOR,FW,0,4,51,5
14,Noah Sadiki,COD,MF,0,12,135,17
14,Ayumu Seko,JPN,DF,0,1,3,2
14,Shahriyar Moghanloo,IRN,FW,0,6,52,4
14,Noor Alrawabdeh,JOR,MF,0,20,182,22
14,Aaron Tshibola,COD,MF,0,0,0,0
14,Kento Shiogai,JPN,FW,0,0,6,2
14,Cj Dos Santos,CPV,GK,0,0,0,0
14,Ibrahim Bayesh,IRQ,MF,0,14,120,14
14,Kim Minjae,KOR,DF,0,3,13,4
14,Yukinari Sugawara,JPN,DF,0,5,36,4
14,Amer Jamous,JOR,MF,0,2,26,2
14,Brian Cipenga,COD,FW,0,10,72,14
14,Yassine Titraoui,ALG,MF,0,0,0,0
14,Charles Pickel,COD,MF,0,3,25,3
14,Moteb Alharbi,KSA,DF,0,11,64,2
14,Kim Jingyu,KOR,MF,0,3,16,3
14,Ali Olwan,JOR,FW,0,11,154,7
14,Nasser Aldawsari,KSA,MF,0,8,106,19
14,Ahmed Alaaeldin,QAT,FW,0,2,22,4
14,Ali Azaizeh,JOR,FW,0,3,47,3
14,Marko Farji,IRQ,FW,0,2,34,2
14,Nabil Bentaleb,ALG,MF,0,16,42,12
14,Arya Yousefi,IRN,DF,0,1,12,2
14,Vozinha,CPV,GK,0,0,0,0
14,Ahmed Basil,IRQ,GK,0,0,0,0
14,Dylan Batubinsika,COD,DF,0,0,0,0
14,Jamiro Monteiro,CPV,MF,0,12,110,23
14,Ahmed Alkassar,KSA,GK,0,0,0,0
14,Steven Moreira,CPV,DF,0,9,77,7
14,Homam Ahmed,QAT,DF,0,3,45,6
14,Tomoki Hayakawa,JPN,GK,0,0,0,0
14,Zion Suzuki,JPN,GK,0,0,0,0
14,Hwang Inbeom,KOR,MF,0,20,62,10
14,Fares Ghedjemis,ALG,FW,0,0,2,0
14,Zaid Ismael,IRQ,MF,0,3,52,17
14,Aiman Yahya,KSA,FW,0,0,0,0
14,Hossein Kanani,IRN,DF,0,2,17,5
14,Steve Kapuadi,COD,DF,0,6,18,6
14,Assim Madibo,QAT,MF,0,2,51,7
14,Riyad Mahrez,ALG,FW,0,22,102,13
14,Abdulelah Alamri,KSA,DF,0,7,23,5
14,Ahmed Qasem,IRQ,FW,0,3,81,6
14,Helio Varela,CPV,MF,0,5,39,2
14,Hwang Heechan,KOR,MF,0,3,25,3
14,Ayoub Aloui,QAT,DF,0,2,38,5
14,Amir Alammari,IRQ,MF,0,19,64,19
