Rank,Name,Nationality,Position,Passes,Passes Completed,Passing Accuracy (%),Crosses,Crossing Accuracy (%),Take-Ons Completed,Defensive Linebreaks Attempts,Defensive Linebreaks Accuracy (%),Switches Of Play Attempts,Switches Of Play Accuracy (%)
361,Mohamed Kanno,KSA,MF,104,97,93,1,0,1,6,67,3,100
361,Luca Zidane,ALG,GK,104,91,88,0,0,0,0,0,0,0
361,John Yeboah,ECU,FW,104,85,82,9,44,9,9,67,1,0
361,Marcus Rashford,ENG,FW,104,92,88,19,11,7,19,79,1,100
361,Jamal Musiala,GER,MF,104,86,83,8,0,10,9,67,0,0
361,Rayan Cherki,FRA,MF,104,89,86,3,0,1,10,60,1,100
361,Andreas Schjelderup,NOR,MF,104,89,86,7,14,4,9,56,2,50
361,Ivan Basic,BIH,MF,104,96,92,12,58,2,2,50,3,100
369,Juan Manuel Sanabria,URU,MF,103,89,86,12,0,0,4,75,0,0
369,Orlando Mosquera,PAN,GK,103,74,72,0,0,0,2,0,2,100
369,Jonathan David,CAN,FW,103,76,74,6,0,1,10,60,1,100
372,Ivan Sunjic,BIH,MF,102,88,86,1,0,0,2,0,1,0
372,Tomas Araujo,POR,DF,102,98,96,0,0,0,0,0,2,50
372,Sergino Dest,USA,DF,102,89,87,7,29,9,14,64,0,0
372,Israel Reyes,MEX,DF,102,93,91,2,50,0,2,0,6,67
376,Diego Gomez,PAR,MF,101,80,79,2,0,2,4,25,2,100
376,Mikel Merino,ESP,MF,101,89,88,1,0,2,4,75,2,100
376,Deroy Duarte,CPV,MF,101,87,86,1,100,0,2,50,1,100
376,Grant Hanley,SCO,DF,101,94,93,0,0,0,5,40,3,100
376,Bukayo Saka,ENG,FW,101,81,80,23,22,12,11,73,2,100
381,Cody Gakpo,NED,FW,100,79,79,10,10,7,18,67,1,0
381,Gonzalo Montiel,ARG,DF,100,81,81,5,0,0,0,0,0,0
383,Rayan,BRA,FW,99,93,94,10,20,5,5,100,1,100
383,Cristiano Ronaldo,POR,FW,99,86,87,1,0,0,4,25,0,0
383,Leo Ostigard,NOR,DF,99,84,85,0,0,0,0,0,4,25
383,Harry Kane,ENG,FW,99,73,74,3,33,1,11,55,2,100
383,Elijah Just,NZL,MF,99,85,86,1,0,4,5,20,2,50
383,Amar Dedic,BIH,DF,99,80,81,0,0,8,1,0,3,100
383,Oswin Appollis,RSA,FW,99,82,83,7,14,5,3,33,1,100
383,Abdulelah Alamri,KSA,DF,99,81,82,1,100,0,3,67,0,0
383,Saeid Ezatolahi,IRN,MF,99,78,79,0,0,1,4,50,0,0
392,Ramin Rezaeian,IRN,DF,98,68,69,17,29,1,12,50,0,0
392,Ugurcan Cakir,TUR,GK,98,77,79,0,0,0,0,0,1,100
392,Abdukodir Khusanov,UZB,DF,98,81,83,0,0,0,1,0,1,100
392,Mohamed Amine Ben Hmida,TUN,DF,98,81,83,0,0,0,1,0,1,0
396,Thalente Mbatha,RSA,MF,97,82,85,4,0,0,4,50,1,100
396,Abdallah Nasib,JOR,DF,97,70,72,0,0,0,1,0,0,0
396,Omar Alderete,PAR,DF,97,70,72,0,0,1,3,33,2,50
396,Eberechi Eze,ENG,MF,97,89,92,3,33,5,7,100,1,100
396,Djibril Sow,SUI,MF,97,83,86,4,25,0,7,57,1,100
396,Matej Kovar,CZE,GK,97,62,64,0,0,0,3,33,0,0
396,Armando Obispo,CUW,DF,97,87,90,0,0,1,1,100,1,100
403,Scott Mctominay,SCO,MF,96,87,91,0,0,4,1,100,2,100
404,Matt Freese,USA,GK,95,63,66,0,0,0,2,0,0,0
404,Mory Diaw,SEN,GK,95,64,67,0,0,0,2,0,1,100
404,Ismael Saibari,MAR,MF,95,80,84,7,29,4,8,75,1,100
404,Tajon Buchanan,CAN,FW,95,76,80,17,18,6,9,56,1,100
408,Exequiel Palacios,ARG,MF,94,89,95,0,0,0,0,0,0,0
408,Giovanni Reyna,USA,MF,94,79,84,1,0,1,9,78,1,100
408,Noni Madueke,ENG,FW,94,82,87,22,41,10,14,79,0,0
411,Martin Baturina,CRO,MF,93,80,86,10,20,8,8,50,1,100
411,Nathan Saliba,CAN,MF,93,79,85,4,25,1,4,75,1,100
411,Kwasi Sibo,GHA,MF,93,88,95,0,0,1,1,100,2,100
411,Omar Rekik,TUN,DF,93,77,83,2,0,0,4,25,1,100
411,Callum Mccowatt,NZL,MF,93,78,84,2,0,1,3,33,0,0
411,Akram Afif,QAT,FW,93,73,78,12,33,2,12,42,3,67
411,Mohammed Alowais,KSA,GK,93,53,57,0,0,0,4,0,0,0
411,Mahmoud Abunada,QAT,GK,93,50,54,0,0,0,8,0,0,0
411,Alireza Beiranvand,IRN,GK,93,62,67,0,0,2,2,0,1,100
420,Dan Ndoye,SUI,FW,92,73,79,13,15,8,10,50,0,0
420,Wilfried Singo,CIV,DF,92,79,86,1,0,3,0,0,0,0
422,Marvin Senaya,GHA,DF,91,75,82,8,25,1,4,75,1,100
422,Romano Schmid,AUT,MF,91,65,71,4,50,1,5,40,1,100
422,Charles De Ketelaere,BEL,FW,91,72,79,5,0,3,13,46,1,0
422,Nelson Semedo,POR,DF,91,84,92,5,0,3,3,0,0,0
422,Gustavo Gomez,PAR,DF,91,80,88,0,0,0,0,0,0,0
427,Matheus Cunha,BRA,FW,90,78,87,5,0,3,11,36,0,0
427,Issa Laye,QAT,DF,90,85,94,0,0,1,1,0,0,0
427,Jeremy Doku,BEL,FW,90,74,82,11,36,21,16,81,0,0
427,Kerim Alajbegovic,BIH,FW,90,69,77,16,6,12,13,77,1,0
431,Eloy Room,CUW,GK,89,48,54,0,0,0,1,0,0,0
431,Juan Quintero,COL,MF,89,74,83,12,33,1,11,64,8,88
431,Paul Okon Engstler,AUS,MF,89,77,87,1,100,1,6,83,2,100
431,El Hadji Malick Diouf,SEN,DF,89,74,83,9,33,0,7,71,0,0
431,Josko Gvardiol,CRO,DF,89,77,87,0,0,0,7,57,2,50
436,Liberato Cacace,NZL,DF,88,75,85,6,17,2,4,25,0,0
436,Ruben Vargas,SUI,FW,88,65,74,24,25,7,16,44,0,0
436,Lucas Bergvall,SWE,MF,88,80,91,2,0,2,2,100,0,0
439,Fabian Rieder,SUI,MF,87,71,82,16,0,2,10,40,2,100
439,Tim Payne,NZL,DF,87,72,83,9,11,1,3,0,0,0
439,Gilberto Mora,MEX,MF,87,79,91,5,20,2,5,80,1,100
439,Hassan Altambakti,KSA,DF,87,71,82,0,0,0,2,0,0,0
439,Mohannad Abutaha,JOR,MF,87,59,68,6,50,6,6,50,2,0
444,Hicham Boudaoui,ALG,MF,86,83,97,0,0,1,4,75,1,100
444,Ferran Torres,ESP,FW,86,63,73,6,0,2,12,50,0,0
446,Orkun Kokcu,TUR,MF,85,60,71,6,0,2,4,25,0,0
446,Junya Ito,JPN,MF,85,65,76,17,35,3,10,60,1,100
448,Houssem Aouar,ALG,MF,84,79,94,1,100,1,3,100,0,0
448,Michal Sadilek,CZE,MF,84,69,82,11,18,0,4,50,2,100
450,Antonio Nusa,NOR,FW,83,62,75,7,14,10,6,33,1,100
450,Kalidou Koulibaly,SEN,DF,83,73,88,0,0,0,1,0,3,100
450,Mostafa Zico,EGY,MF,83,57,69,2,50,0,7,43,1,100
453,Aziz Behich,AUS,DF,82,60,73,6,17,1,1,0,1,100
453,Ryan Mendes,CPV,FW,82,70,85,5,0,6,4,50,1,100
453,Rafael Leao,POR,FW,82,71,87,8,50,12,8,63,2,50
453,Giuliano Simeone,ARG,FW,82,70,85,6,0,1,3,100,0,0
457,Christian Pulisic,USA,FW,81,71,88,6,17,8,7,71,0,0
457,Mert Muldur,TUR,DF,81,72,89,6,17,0,4,100,0,0
457,Alexander Isak,SWE,FW,81,65,80,4,0,3,5,60,2,50
457,Trezeguet,EGY,FW,81,68,84,3,0,4,5,40,1,100
457,Salem Aldawsari,KSA,FW,81,58,72,2,0,7,4,75,1,100
462,Milad Mohammadi,IRN,DF,80,66,83,4,0,6,4,75,0,0
462,Nizar Alrashdan,JOR,MF,80,62,78,0,0,5,7,43,2,100
462,Connor Metcalfe,AUS,MF,80,65,81,8,13,3,7,71,1,0
462,Gustavo Velazquez,PAR,DF,80,57,71,4,0,0,6,17,3,100
462,Yan Valery,TUN,DF,80,54,68,7,29,3,8,13,1,100
462,Paul Wanner,AUT,MF,80,68,85,1,0,3,4,75,1,100
468,Zeki Celik,TUR,DF,79,70,89,1,0,0,1,100,1,100
468,Akmal Mozgovoy,UZB,MF,79,65,82,0,0,2,8,50,3,67
468,Musab Aljuwayr,KSA,MF,79,64,81,7,43,1,7,43,0,0
468,Marcos Senesi,ARG,DF,79,75,95,0,0,0,1,0,0,0
468,Cesar Blackman,PAN,DF,79,69,87,0,0,4,2,100,0,0
473,Nilson Angulo,ECU,FW,78,63,81,8,38,16,14,50,0,0
473,Cristian Martinez,PAN,MF,78,57,73,12,17,1,9,22,1,0
473,Pedro Miguel,QAT,DF,78,59,76,2,50,2,7,29,2,100
473,Christopher Operi,CIV,DF,78,70,90,1,0,1,3,33,0,0
477,Omar Marmoush,EGY,FW,77,65,84,5,0,6,12,75,3,100
477,Moteb Alharbi,KSA,DF,77,57,74,2,0,1,5,20,0,0
477,Alvaro Fidalgo,MEX,MF,77,72,94,3,0,0,3,0,2,100
480,Anthony Elanga,SWE,FW,76,60,79,12,0,3,9,33,0,0
480,Michel Aebischer,SUI,MF,76,66,87,6,0,2,3,33,0,0
480,Sarpreet Singh,NZL,MF,76,58,76,7,0,3,6,17,2,100
480,Malo Gusto,FRA,DF,76,69,91,3,33,0,0,0,1,100
484,Juninho Bacuna,CUW,MF,75,60,80,5,20,7,4,25,1,100
484,Anis Slimane,TUN,MF,75,59,79,4,50,0,2,50,2,100
486,Ousmane Diomande,CIV,DF,74,72,97,0,0,0,0,0,0,0
486,Ali Abdi,TUN,DF,74,51,69,5,0,2,5,60,0,0
488,Amad Diallo,CIV,FW,73,69,95,7,29,7,4,100,1,100
488,Ismaila Sarr,SEN,FW,73,57,78,2,0,4,10,50,0,0
488,Francisco Conceicao,POR,FW,73,65,89,5,40,4,7,86,0,0
488,Silvan Widmer,SUI,DF,73,57,78,4,25,0,5,40,1,100
488,Jacob Widell Zetterstrom,SWE,GK,73,39,53,0,0,0,6,17,0,0
488,Yukinari Sugawara,JPN,DF,73,52,71,5,20,1,4,25,2,50
488,Ehsan Haddad,JOR,DF,73,54,74,7,29,1,9,78,0,0
495,Breel Embolo,SUI,FW,72,56,78,1,0,2,8,63,0,0
495,Eldor Shomurodov,UZB,FW,72,52,72,1,0,5,4,25,0,0
495,Abdulla Abdullaev,UZB,DF,72,65,90,0,0,1,1,100,0,0
498,Esmir Bajraktarevic,BIH,FW,71,58,82,8,0,3,0,0,0,0
498,Fernando Muslera,URU,GK,71,57,80,0,0,0,1,0,0,0
498,Lautaro Martinez,ARG,FW,71,60,85,2,50,1,2,50,0,0
498,Mehdi Taremi,IRN,FW,71,58,82,2,0,3,4,25,0,0
498,Ahmed Basil,IRQ,GK,71,42,59,0,0,0,3,0,0,0
498,Zaid Ismael,IRQ,MF,71,63,89,0,0,1,0,0,1,0
504,Viktor Gyokeres,SWE,FW,70,48,69,1,100,1,8,50,1,100
504,Caleb Yirenkyi,GHA,MF,70,62,89,1,0,2,4,25,0,0
504,Warren Zaire Emery,FRA,MF,70,66,94,1,0,0,1,0,0,0
507,Jean Kevin Duverne,HAI,DF,69,59,86,2,50,2,1,100,0,0
507,Yoane Wissa,COD,FW,69,60,87,2,0,1,5,40,0,0
507,Karim Boudiaf,QAT,MF,69,65,94,0,0,0,4,50,0,0
507,Mohammad Mohebbi,IRN,MF,69,49,71,1,0,0,3,33,1,0
507,Ngalayel Mukau,COD,MF,69,60,87,0,0,1,1,100,0,0
507,Mauricio,PAR,MF,69,54,78,12,17,1,4,25,1,100
513,Julio Enciso,PAR,FW,68,55,81,7,43,11,3,33,2,50
513,Agustin Canobbio,URU,MF,68,61,90,9,33,2,5,60,0,0
513,Antoine Semenyo,GHA,MF,68,52,76,5,0,5,5,60,0,0
513,Tyler Bindon,NZL,DF,68,49,72,0,0,1,6,33,2,50
513,Ali Lajami,KSA,DF,68,56,82,0,0,0,4,75,5,80
518,Jaouen Hadjam,ALG,DF,67,56,84,0,0,5,1,0,0,0
518,Ibrahim Mbaye,SEN,FW,67,63,94,8,13,4,9,44,0,0
518,Liam Millar,CAN,MF,67,50,75,10,20,4,8,50,0,0
518,Tijjani Reijnders,NED,MF,67,53,79,15,40,0,4,50,0,0
518,Crysencio Summerville,NED,FW,67,56,84,8,13,5,6,83,0,0
518,Miguel Almiron,PAR,MF,67,49,73,4,0,6,6,67,0,0
518,Alexander Bernhardsson,SWE,DF,67,51,76,3,0,4,3,67,1,100
525,Kristoffer Nordfeldt,SWE,GK,66,45,68,0,0,0,3,67,1,100
525,Tomas Holes,CZE,DF,66,55,83,0,0,1,1,0,3,100
525,Cristian Volpato,AUS,FW,66,52,79,13,23,11,9,56,0,0
525,Yazeed Abulaila,JOR,GK,66,42,64,0,0,0,3,33,0,0
525,Raul Jimenez,MEX,FW,66,48,73,1,0,1,8,63,0,0
525,Deveron Fonville,CUW,DF,66,55,83,0,0,4,3,33,0,0
531,Alexandr Sojka,CZE,MF,65,52,80,5,40,3,1,0,3,33
531,Ali Ahmed,CAN,FW,65,51,78,15,20,3,5,40,1,100
531,Gabriel Martinelli,BRA,FW,65,59,91,3,33,1,3,67,0,0
531,Ahmed Fathy,QAT,MF,65,59,91,0,0,0,2,0,1,100
535,Zaid Tahseen,IRQ,DF,64,53,83,0,0,0,3,0,1,100
535,Mohammed Abu Alshamat,KSA,DF,64,51,80,3,0,0,4,25,1,0
535,Saman Ghoddos,IRN,MF,64,45,70,1,100,3,6,50,2,100
535,Phillip Mwene,AUT,DF,64,56,88,6,0,0,2,50,0,0
535,Amadou Onana,BEL,MF,64,57,89,0,0,1,1,100,0,0
535,Niko Sigur,CAN,DF,64,52,81,4,25,0,8,63,1,100
541,Kenny Mclean,SCO,MF,63,56,89,2,50,1,2,100,0,0
541,Joshua Brenet,CUW,DF,63,49,78,1,0,2,3,33,0,0
541,Teun Koopmeiners,NED,MF,63,54,86,4,50,0,2,50,2,100
544,Joao Paulo,CPV,MF,62,52,84,5,0,1,6,67,0,0
544,Livano Comenencia,CUW,MF,62,50,81,1,100,2,4,50,0,0
546,Tahith Chong,CUW,MF,61,51,84,0,0,9,11,64,0,0
546,Salih Ozcan,TUR,MF,61,52,85,1,0,0,3,33,2,100
546,Carlens Arcus,HAI,DF,61,54,89,2,50,0,1,0,0,0
546,Pervis Estupinan,ECU,DF,61,55,90,3,0,0,3,0,0,0
550,Brian Gutierrez,MEX,MF,60,53,88,6,0,1,2,50,1,100
550,Florian Grillitsch,AUT,MF,60,55,92,1,0,0,5,80,0,0
550,Joao Felix,POR,FW,60,47,78,4,0,5,9,33,0,0
550,Edouard Mendy,SEN,GK,60,49,82,0,0,0,0,0,1,100
554,Benjamin Asare,GHA,GK,59,41,69,0,0,0,4,25,0,0
554,Iliman Ndiaye,SEN,FW,59,53,90,2,0,6,4,50,0,0
554,Lee Jaesung,KOR,MF,59,46,78,1,0,0,2,100,1,0
554,Bernardo Silva,POR,MF,59,55,93,0,0,1,0,0,0,0
554,Eren Elmali,TUR,DF,59,52,88,4,25,2,1,100,1,100
554,Azizjon Ganiev,UZB,MF,59,48,81,6,0,1,3,0,1,100
560,Elisha Owusu,GHA,MF,58,50,86,4,25,2,1,0,0,0
560,Miles Robinson,USA,DF,58,54,93,0,0,0,0,0,1,100
560,Abdullah Alkhaibari,KSA,MF,58,48,83,0,0,1,1,0,0,0
560,Husam Abudahab,JOR,DF,58,43,74,0,0,0,1,100,0,0
560,Son Heungmin,KOR,FW,58,49,84,3,33,4,2,50,0,0
560,Amine Gouiri,ALG,FW,58,51,88,1,0,1,0,0,0,0
566,Maxi Araujo,URU,MF,57,50,88,18,44,7,7,86,0,0
567,Nico Paz,ARG,FW,56,54,96,1,0,1,2,100,2,100
567,Richard Rios,COL,MF,56,47,84,2,0,3,1,100,1,100
567,Abduvohid Nematov,UZB,GK,56,28,50,0,0,0,4,0,0,0
567,Cameron Burgess,AUS,DF,56,45,80,0,0,0,2,50,1,0
567,Kim Jingyu,KOR,MF,56,54,96,1,0,0,2,100,0,0
572,Steve Kapuadi,COD,DF,55,46,84,0,0,0,0,0,1,0
572,Nicolas De La Cruz,URU,MF,55,45,82,4,50,0,7,43,4,100
572,Behruzjon Karimov,UZB,DF,55,43,78,2,50,5,3,33,2,0
572,John Mcginn,SCO,MF,55,47,85,9,56,1,7,57,1,0
572,Dodi Lukebakio,BEL,FW,55,44,80,7,14,10,6,83,1,100
577,Relebohile Mofokeng,RSA,FW,54,44,81,2,0,0,6,50,2,100
577,Chemsdine Talbi,MAR,MF,54,47,87,9,11,1,3,33,0,0
577,Habib Diarra,SEN,MF,54,52,96,1,0,0,2,50,0,0
577,Jurien Gaari,CUW,DF,54,41,76,0,0,0,1,0,0,0
577,Johan Manzambi,SUI,MF,54,43,80,7,43,5,7,57,0,0
582,Joe Scally,USA,DF,53,46,87,4,25,0,2,50,0,0
582,Luis Suarez,COL,FW,53,39,74,3,33,2,2,50,0,0
584,Josue Casimir,HAI,FW,52,43,83,2,0,2,3,33,0,0
584,Nkosinathi Sibisi,RSA,DF,52,42,81,0,0,0,1,100,3,100
584,Lawrence Ati Zigi,GHA,GK,52,39,75,0,0,0,2,0,0,0
584,Park Jinseob,KOR,DF,52,49,94,0,0,0,1,0,0,0
584,David Raum,GER,DF,52,44,85,14,21,1,4,50,1,0
584,Ben Gannon Doak,SCO,FW,52,47,90,7,29,3,1,100,0,0
584,Scott Mckenna,SCO,DF,52,49,94,0,0,0,1,0,1,100
584,Yunus Akgun,TUR,FW,52,41,79,2,50,1,2,0,0,0
584,Amar Memic,BIH,MF,52,39,75,5,0,1,4,0,0,0
593,Jalal Hassan,IRQ,GK,51,33,65,0,0,0,0,0,0,0
593,Feras Albrikan,KSA,FW,51,32,63,0,0,0,5,0,0,0
593,Mark Mckenzie,USA,DF,51,47,92,0,0,0,1,0,0,0
593,Giovani Lo Celso,ARG,MF,51,47,92,1,100,0,0,0,0,0
593,Pavel Sulc,CZE,FW,51,39,76,1,100,2,3,0,0,0
598,Nico Williams,ESP,FW,50,45,90,9,22,4,6,83,0,0
598,Benjamin Nygren,SWE,MF,50,46,92,6,33,2,4,50,0,0
598,Ayumu Seko,JPN,DF,50,42,84,0,0,0,2,0,0,0
598,Auston Trusty,USA,DF,50,38,76,2,0,0,2,0,1,100
598,Mario Pasalic,CRO,MF,50,45,90,0,0,0,1,100,0,0
603,Elliot Stroud,SWE,DF,49,38,78,6,33,3,6,50,0,0
603,Thapelo Maseko,RSA,FW,49,37,76,2,0,8,5,40,0,0
605,Pape Matar Sarr,SEN,MF,48,43,90,1,0,0,2,50,0,0
605,Aymen Dahmen,TUN,GK,48,24,50,0,0,0,1,100,1,0
605,Ruben Providence,HAI,FW,48,42,88,7,29,4,3,67,0,0
605,Sherzod Nasrullaev,UZB,DF,48,35,73,3,0,1,5,0,0,0
605,Lukas Provod,CZE,MF,48,37,77,2,50,1,3,100,0,0
605,Edin Dzeko,BIH,FW,48,33,69,2,50,2,3,67,1,100
605,Juergen Locadia,CUW,FW,48,37,77,0,0,0,1,100,1,100
605,Kieran Tierney,SCO,DF,48,36,75,7,43,0,1,100,2,50
605,Jose Luis Rodriguez,PAN,MF,48,35,73,16,13,2,3,33,2,50
605,Ali Olwan,JOR,FW,48,36,75,8,38,6,4,50,1,100
605,Ibrahim Bayesh,IRQ,MF,48,40,83,1,0,6,3,33,0,0
616,Brian Cipenga,COD,FW,47,28,60,11,18,6,12,8,0,0
616,Hwang Heechan,KOR,MF,47,40,85,1,0,2,3,100,1,100
616,Jordan Ayew,GHA,FW,47,33,70,9,11,1,3,0,1,0
616,Chris Wood,NZL,FW,47,36,77,0,0,2,8,13,0,0
616,Jaroslav Zeleny,CZE,DF,47,35,74,2,50,1,1,0,0,0
616,David Doudera,CZE,DF,47,34,72,4,25,1,3,0,0,0
616,Angelo Preciado,ECU,DF,47,32,68,8,13,1,5,20,1,100
616,Erling Haaland,NOR,FW,47,34,72,1,0,1,4,25,0,0
624,Nawaf Bu Washl,KSA,DF,46,35,76,0,0,0,1,0,0,0
624,Oguz Aydin,TUR,FW,46,39,85,3,0,0,3,67,0,0
624,Daniel Svensson,SWE,DF,46,38,83,2,50,0,3,33,0,0
627,Jakhongir Urozov,UZB,DF,45,31,69,0,0,0,1,100,2,100
627,Seko Fofana,CIV,MF,45,38,84,0,0,0,2,0,0,0
627,Nicolas Jackson,SEN,FW,45,36,80,1,0,2,4,50,0,0
627,Nathanael Mbuku,COD,MF,45,35,78,14,21,4,6,83,0,0
627,Lee Taeseok,KOR,DF,45,39,87,9,33,1,4,75,1,100
632,Zineddine Belaid,ALG,DF,44,43,98,0,0,0,1,100,0,0
632,Nestory Irankunda,AUS,FW,44,32,73,1,0,1,1,100,1,0
632,Tomas Soucek,CZE,MF,44,35,80,0,0,0,2,50,0,0
632,Jayden Adams,RSA,MF,44,40,91,0,0,0,2,50,2,100
632,Raphinha,BRA,FW,44,30,68,10,30,2,4,25,0,0
632,Folarin Balogun,USA,FW,44,30,68,6,0,4,6,67,0,0
638,Santiago Arias,COL,DF,43,37,86,5,80,0,1,100,0,0
638,Fabinho,BRA,MF,43,42,98,0,0,0,0,0,0,0
638,Thelo Aasgaard,NOR,MF,43,38,88,0,0,0,1,100,1,100
638,Luka Vuskovic,CRO,DF,43,38,88,0,0,0,1,0,0,0
638,Odiljon Xamrobekov,UZB,MF,43,38,88,0,0,0,1,0,0,0
638,Jacob Italiano,AUS,DF,43,33,77,9,33,4,2,50,2,100
644,Lukas Cerv,CZE,MF,42,36,86,1,0,1,2,0,1,100
644,Aaron Hickey,SCO,DF,42,38,90,1,0,0,1,100,0,0
644,Sultan Albrake,QAT,DF,42,33,79,3,33,0,3,0,1,100
644,Alexis Saelemaekers,BEL,MF,42,33,79,2,50,2,2,100,0,0
644,Romelu Lukaku,BEL,FW,42,32,76,0,0,1,3,67,0,0
649,Dean Henderson,ENG,GK,41,32,78,0,0,0,0,0,0,0
649,Luca Jaquez,SUI,DF,41,31,76,2,0,1,4,50,0,0
649,Khojiakbar Alijonov,UZB,DF,41,27,66,4,0,3,2,0,1,0
649,Edo Kayembe,COD,MF,41,35,85,2,0,2,1,0,0,0
649,Edmilson Junior,QAT,FW,41,33,80,4,25,2,7,43,0,0
649,Tani Oluwaseyi,CAN,FW,41,27,66,4,0,4,4,50,1,100
649,Jacob Shaffelburg,CAN,MF,41,37,90,19,16,0,6,50,0,0
649,Laros Duarte,CPV,MF,41,33,80,2,100,6,2,50,0,0
649,Haissem Hassan,EGY,FW,41,35,85,9,22,11,13,92,4,100
658,Nikola Vlasic,CRO,MF,40,33,83,3,67,2,3,67,0,0
658,Enner Valencia,ECU,FW,40,33,83,1,0,2,1,0,0,0
658,Hussein Ali,IRQ,DF,40,32,80,2,0,0,2,100,0,0
658,Miro Muheim,SUI,DF,40,31,78,3,0,0,5,20,0,0
662,Ermedin Demirovic,BIH,FW,39,29,74,0,0,1,5,80,0,0
662,Diogo Dalot,POR,DF,39,34,87,1,0,2,1,0,0,0
662,Gessime Yassine,MAR,MF,39,34,87,1,0,2,2,50,3,67
662,Mahmoud Almardi,JOR,FW,39,32,82,7,14,3,5,60,0,0
666,Malick Thiaw,GER,DF,38,33,87,0,0,0,0,0,0,0
666,Baris Alper Yilmaz,TUR,FW,38,29,76,15,0,7,12,67,2,0
666,Besfort Zeneli,SWE,MF,38,34,89,2,0,0,2,50,0,0
666,Wagner Pina,CPV,DF,38,30,79,3,33,1,2,0,0,0
666,Ricardo Pepi,USA,FW,38,33,87,1,0,4,1,100,0,0
671,Marco Pasalic,CRO,FW,37,23,62,12,8,8,9,89,2,50
671,Soufiane Rahimi,MAR,FW,37,27,73,5,40,2,5,40,0,0
671,Jesper Karlstrom,SWE,MF,37,31,84,0,0,1,2,50,0,0
674,Abbosbek Fayzullaev,UZB,MF,36,24,67,9,22,1,2,50,1,100
674,Ozan Kabak,TUR,DF,36,26,72,0,0,2,2,0,0,0
674,Riechedly Bazoer,CUW,DF,36,31,86,0,0,0,0,0,1,100
674,Anis Hadj Moussa,ALG,FW,36,25,69,4,50,8,5,60,1,100
674,Ali Jasim,IRQ,FW,36,29,81,5,0,1,4,75,1,100
674,Mousa Altamari,JOR,FW,36,28,78,1,100,3,4,75,0,0
674,Ismael Gharbi,TUN,MF,36,35,97,1,0,1,0,0,0,0
681,Yannick Semedo,CPV,MF,35,27,77,2,50,0,0,0,2,100
681,Jeremy Antonisse,CUW,FW,35,25,71,6,50,1,2,0,1,100
681,Ryan Christie,SCO,MF,35,29,83,1,100,0,1,100,0,0
681,Ayase Ueda,JPN,FW,35,26,74,1,0,4,4,50,0,0
681,Ali Alhamadi,IRQ,FW,35,26,74,0,0,1,0,0,0,0
686,Tsuyoshi Watanabe,JPN,DF,34,31,91,2,50,0,0,0,0,0
686,Hossein Kanani,IRN,DF,34,33,97,0,0,0,0,0,3,67
686,Timothy Weah,USA,FW,34,30,88,2,0,0,2,50,0,0
686,Jovane Cabral,CPV,MF,34,27,79,1,0,3,2,50,0,0
686,Mahmoud Saber,EGY,MF,34,30,88,1,100,1,1,0,0,0
686,Lawrence Shankland,SCO,FW,34,20,59,0,0,0,2,0,0,0
686,Dostonbek Khamdamov,UZB,MF,34,29,85,5,60,1,1,0,0,0
686,Angelo Stiller,GER,MF,34,31,91,0,0,0,1,0,0,0
686,Donyell Malen,NED,FW,34,27,79,8,25,5,5,60,0,0
686,Ibrahima Konate,FRA,DF,34,32,94,0,0,0,0,0,0,0
696,Jordy Alcivar,ECU,MF,33,31,94,1,0,0,1,100,0,0
696,Matt Turner,USA,GK,33,24,73,0,0,0,0,0,1,0
696,Homam Ahmed,QAT,DF,33,25,76,3,33,1,2,50,0,0
696,Assim Madibo,QAT,MF,33,27,82,0,0,1,1,0,0,0
696,Willy Semedo,CPV,MF,33,30,91,2,0,1,1,0,0,0
696,Ben Old,NZL,MF,33,25,76,1,0,1,2,0,0,0
702,Damian Bobadilla,PAR,MF,32,24,75,1,100,0,1,0,1,100
702,Marko Arnautovic,AUT,FW,32,25,78,1,0,0,0,0,0,0
702,Abdulaziz Hatem,QAT,MF,32,26,81,0,0,0,2,50,0,0
702,Jassem Gaber,QAT,DF,32,25,78,0,0,0,1,100,1,100
702,Hossam Abdelmaguid,EGY,DF,32,28,88,0,0,0,0,0,0,0
707,Kamaldeen Sulemana,GHA,FW,31,27,87,4,75,4,4,75,3,100
707,Gavi,ESP,MF,31,29,94,2,0,0,1,100,1,100
707,Ajdin Hrustic,AUS,FW,31,27,87,5,40,1,0,0,0,0
707,Kai Trewin,AUS,DF,31,27,87,2,0,0,1,0,0,0
707,Deniz Undav,GER,FW,31,23,74,2,0,0,4,50,0,0
707,Marco Friedl,AUT,DF,31,30,97,0,0,0,0,0,0,0
707,Mohammad Abualnadi,JOR,DF,31,24,77,0,0,0,0,0,0,0
714,Castrop Jens,KOR,DF,30,27,90,4,25,1,2,100,1,100
714,Daizen Maeda,JPN,MF,30,28,93,3,0,0,1,100,0,0
714,Ardon Jashari,SUI,MF,30,25,83,1,0,0,3,67,1,0
714,Ange Yoan Bonny,CIV,FW,30,26,87,3,33,1,0,0,0,0
714,Abdoulaye Seck,SEN,DF,30,26,87,0,0,0,1,0,0,0
714,Rani Khedira,TUN,MF,30,25,83,1,0,0,2,50,0,0
714,Waldemar Anton,GER,DF,30,29,97,2,0,0,0,0,0,0
714,Carney Chukwuemeka,AUT,MF,30,25,83,0,0,1,0,0,0,0
