Rank,Name,Nationality,Position,Goals,Assists,Minutes Played
617,Braian Ojeda,PAR,MF,0,0,28
618,Sondre Langas,NOR,DF,0,0,29
619,Kevin Yakob,IRQ,MF,0,0,29
620,Eric Garcia,ESP,DF,0,0,29
621,Mehdi Torabi,IRN,MF,0,0,29
622,Martin Zubimendi,ESP,MF,0,0,29
623,Marco Friedl,AUT,DF,0,0,30
627,Awer Mabil,AUS,FW,0,0,31
628,Luis Chavez,MEX,MF,0,0,31
629,Mohamed Amoura,ALG,FW,0,0,31
630,Duckens Nazon,HAI,FW,0,0,31
631,Francis De Vries,NZL,DF,0,0,32
632,Francisco Trincao,POR,FW,0,0,32
633,Justin Kluivert,NED,MF,0,0,32
635,Youssef Amyn,IRQ,MF,0,0,32
636,Maximilian Beier,GER,FW,0,0,33
639,Tete Yengi,AUS,FW,0,0,33
640,Ayoube Amaimouni,MAR,FW,0,0,33
641,Samed Bazdar,BIH,FW,0,0,35
642,Guus Til,NED,MF,0,0,36
643,Bara Sapoko Ndiaye,SEN,MF,0,0,36
644,Jackson Porozo,ECU,DF,0,0,36
645,Joaquin Seys,BEL,DF,0,0,36
646,Jamie Leweling,GER,MF,0,0,37
647,Jean Philippe Mateta,FRA,FW,0,0,38
648,Ederson Silva,BRA,MF,0,0,38
649,Zineddine Belaid,ALG,DF,0,0,38
651,Ali Yousif,IRQ,FW,0,0,38
652,Luiz Henrique,BRA,FW,0,0,38
653,Ahmed Maknazi,IRQ,DF,0,0,38
654,Eray Coemert,SUI,DF,0,0,39
655,Patrick Wimmer,AUT,FW,0,0,39
656,Jordy Caicedo,ECU,FW,0,0,40
657,Oumar Diakite,CIV,FW,0,0,40
658,Ahmed Alganehi,QAT,MF,0,0,41
659,Alhashmi Alhussein,QAT,DF,0,0,41
660,Alexander Prass,AUT,MF,0,0,41
662,Cho Guesung,KOR,FW,0,0,41
664,Rebin Sulaka,IRQ,DF,0,0,41
666,Ali Alipour,IRN,FW,0,0,42
667,Axel Witsel,BEL,MF,0,0,42
668,Jorrel Hato,NED,DF,0,0,43
669,Tomas Chory,CZE,FW,0,0,43
670,Saleem Obaid,JOR,DF,0,0,43
671,Ala Alhajji,KSA,MF,0,0,43
672,Park Jinseob,KOR,DF,0,0,44
673,Nick Woltemade,GER,FW,0,0,44
674,Gervane Kastaneer,CUW,FW,0,0,45
675,Charles Pickel,COD,MF,0,0,45
677,Orbelin Pineda,MEX,MF,0,0,45
678,Taha Ali,SWE,FW,0,0,46
679,Igor Sergeev,UZB,FW,0,0,46
681,Theo Bongonda,COD,MF,0,0,47
682,Roger Ibanez,BRA,DF,0,0,49
683,Dylan Bronn,TUN,DF,0,0,49
684,Simon Banza,COD,FW,0,0,49
685,Lyndon Dykes,SCO,FW,0,0,49
686,Matias Vina,URU,DF,0,0,49
687,Jordy Alcivar,ECU,MF,0,0,49
688,Morten Thorsby,NOR,MF,0,0,50
689,Sontje Hansen,CUW,FW,0,0,50
690,Fredrik Andre Bjorkan,NOR,DF,0,0,50
691,Malick Thiaw,GER,DF,0,0,50
692,Mehdi Ghayedi,IRN,FW,0,0,50
694,Deniz Gul,TUR,FW,0,0,50
695,Jearl Margaritha,CUW,FW,0,0,50
696,Castrop Jens,KOR,DF,0,0,51
698,Abdulaziz Hatem,QAT,MF,0,0,51
699,Arya Yousefi,IRN,DF,0,0,51
700,Sergio Rochet,URU,GK,0,0,51
701,Angelo Stiller,GER,MF,0,0,52
702,Ismael Diaz,PAN,MF,0,0,52
703,Mohamed Hadj Mahmoud,TUN,MF,0,0,52
704,Tomas Rodriguez,PAN,FW,0,0,53
705,Eom Jisung,KOR,MF,0,0,53
706,Yaimar Medina,ECU,DF,0,0,53
707,Isidro Pitta,PAR,FW,0,0,55
708,Can Uzun,TUR,FW,0,0,55
709,Ahmed Alaaeldin,QAT,FW,0,0,55
710,Farrukh Sayfiev,UZB,DF,0,0,55
711,Matias Fernandez Pardo,BEL,FW,0,0,57
712,Junnosuke Suzuki,JPN,DF,0,0,58
713,Wout Weghorst,NED,FW,0,0,58
714,Vladimir Darida,CZE,MF,0,0,58
715,Alireza Jahanbakhsh,IRN,MF,0,0,58
716,Elias Achouri,TUN,FW,0,0,58
717,Dan Burn,ENG,DF,0,0,59
718,Denis Visinsky,CZE,FW,0,0,59
719,Alan Minda,ECU,MF,0,0,59
720,Lyle Foster,RSA,FW,0,0,59
721,Kojo Peprah Oppong,GHA,DF,0,0,61
722,Mathieu Choiniere,CAN,MF,0,0,61
723,Brian Rodriguez,URU,FW,0,0,61
724,Cedric Itten,SUI,FW,0,0,62
725,Prince Adu,GHA,FW,0,0,62
726,Marko Farji,IRQ,FW,0,0,62
727,Kim Jingyu,KOR,MF,0,0,64
728,Alex Arce,PAR,FW,0,0,64
729,Igor Thiago,BRA,FW,0,0,65
730,Ollie Watkins,ENG,FW,0,0,65
731,Firas Chaouat,TUN,FW,0,0,66
732,Waldemar Anton,GER,DF,0,0,66
733,Mathew Leckie,AUS,FW,0,0,67
734,Dominique Simon,HAI,MF,0,0,68
735,Quinten Timber,NED,MF,0,0,68
736,Besfort Zeneli,SWE,MF,0,0,69
737,Ibrahima Konate,FRA,DF,0,0,69
738,Alexandro Maidana,PAR,DF,0,0,69
739,Joris Kayembe,COD,DF,0,0,69
740,Telmo Arcanjo,CPV,MF,0,0,69
742,Sultan Mandash,KSA,FW,0,0,71
743,Henrik Falchener,NOR,DF,0,0,71
744,Luka Vuskovic,CRO,DF,0,0,71
747,Danilo Santos,BRA,MF,0,0,73
748,Hossam Abdelmaguid,EGY,DF,0,0,73
749,Kim Moonhwan,KOR,DF,0,0,74
750,Ayoub El Kaabi,MAR,FW,0,0,74
751,Mohammad Abualnadi,JOR,DF,0,0,75
752,Kristian Thorstvedt,NOR,MF,0,0,75
753,Jason Geria,AUS,DF,0,0,75
755,Oston Urunov,UZB,MF,0,0,75
756,Ruben Neves,POR,MF,0,0,76
757,Azarias Londono,PAN,FW,0,0,76
758,Diego Moreira,BEL,MF,0,0,76
759,Ali Azaizeh,JOR,FW,0,0,78
760,Diogo Dalot,POR,DF,0,0,78
761,Aaron Hickey,SCO,DF,0,0,79
762,Jesse Randall,NZL,FW,0,0,79
765,Kai Trewin,AUS,DF,0,0,81
766,Nico Paz,ARG,FW,0,0,81
767,Andrej Kramaric,CRO,FW,0,0,81
768,Brenden Aaronson,USA,FW,0,0,82
769,Hamza Abdelkarim,EGY,FW,0,0,83
770,Yeremy Pino,ESP,FW,0,0,83
771,Zizo,EGY,FW,0,0,84
772,Jeremy Antonisse,CUW,FW,0,0,85
774,Gavi,ESP,MF,0,0,85
775,Cecilio Waterman,PAN,FW,0,0,85
776,Obed Vargas,MEX,MF,0,0,85
780,Ardon Jashari,SUI,MF,0,0,87
781,Guillermo Martinez,MEX,FW,0,0,87
782,Nishan Velupillay,AUS,FW,0,0,88
784,Abdullah Alhamddan,KSA,FW,0,0,88
785,Munaf Younus,IRQ,DF,0,0,89
786,Luca Jaquez,SUI,DF,0,0,89
787,Santiago Arias,COL,DF,0,0,89
788,Ivan Toney,ENG,FW,0,0,89
789,Timothy Weah,USA,FW,0,0,90
791,Garry Rodrigues,CPV,MF,0,0,90
792,Jorge Gutierrez,PAN,DF,0,0,90
793,Ajdin Hrustic,AUS,FW,0,0,90
794,Odiljon Xamrobekov,UZB,MF,0,0,90
795,Mohamed Manai,QAT,FW,0,0,91
796,Alidu Seidu,GHA,DF,0,0,92
797,Gilson Benchimol,CPV,FW,0,0,93
800,Bazoumana Toure,CIV,FW,0,0,94
801,Pape Matar Sarr,SEN,MF,0,0,94
802,Antonio Sanabria,PAR,FW,0,0,95
803,Fabinho,BRA,MF,0,0,95
804,Armin Gigovic,BIH,MF,0,0,95
806,Oguz Aydin,TUR,FW,0,0,97
807,Ayumu Seko,JPN,DF,0,0,97
808,Sebastian Tounekti,TUN,MF,0,0,98
809,Fidel Escobar,PAN,DF,0,0,98
810,Deiver Machado,COL,DF,0,0,99
811,Wagner Pina,CPV,DF,0,0,99
812,Stepan Chaloupek,CZE,DF,0,0,99
813,Tsuyoshi Watanabe,JPN,DF,0,0,99
814,David Doudera,CZE,DF,0,0,100
815,Exequiel Palacios,ARG,MF,0,0,100
817,Egil Selvik,NOR,GK,0,0,100
818,Ousmane Diomande,CIV,DF,0,0,100
818,Christopher Operi,CIV,DF,0,0,100
820,Riechedly Bazoer,CUW,DF,0,0,100
821,Tomas Araujo,POR,DF,0,0,100
822,Mouhib Chamakh,TUN,GK,0,0,100
823,Joe Scally,USA,DF,0,0,100
824,Pervis Estupinan,ECU,DF,0,0,100
825,Oussama Benbot,ALG,GK,0,0,100
826,Nkosinathi Sibisi,RSA,DF,0,0,101
827,Zeki Amdouni,SUI,FW,0,0,101
828,Florian Grillitsch,AUT,MF,0,0,102
829,Dean Henderson,ENG,GK,0,0,102
830,Scott Mckenna,SCO,DF,0,0,102
831,Yunus Akgun,TUR,FW,0,0,103
832,Seko Fofana,CIV,MF,0,0,103
833,Ryan Thomas,NZL,MF,0,0,103
834,Ehsan Hajisafi,IRN,DF,0,0,104
835,Mohammad Ghorbani,IRN,MF,0,0,104
836,Nawaf Bu Washl,KSA,DF,0,0,104
837,Ozan Kabak,TUR,DF,0,0,104
837,Mark Mckenzie,USA,DF,0,0,104
837,Miles Robinson,USA,DF,0,0,104
837,Matt Turner,USA,GK,0,0,104
841,Frans Putros,IRQ,DF,0,0,105
842,Utkir Yusupov,UZB,GK,0,0,105
843,Yusuf Abdurisag,QAT,FW,0,0,105
844,Saleh Hardani,IRN,DF,0,0,107
845,Carney Chukwuemeka,AUT,MF,0,0,108
846,Shahriyar Moghanloo,IRN,FW,0,0,108
847,Jhon Cordoba,COL,FW,0,0,108
848,Jakhongir Urozov,UZB,DF,0,0,112
849,Ben Old,NZL,MF,0,0,112
850,Karim Boudiaf,QAT,MF,0,0,114
851,Ryan Christie,SCO,MF,0,0,114
852,Daniel Svensson,SWE,DF,0,0,114
853,Anis Hadj Moussa,ALG,FW,0,0,114
854,Marco Pasalic,CRO,FW,0,0,114
855,Miro Muheim,SUI,DF,0,0,115
856,Kieran Tierney,SCO,DF,0,0,115
857,Nicolas De La Cruz,URU,MF,0,0,115
858,Gustavo Caballero,PAR,MF,0,0,117
859,Jorgen Strand Larsen,NOR,FW,0,0,117
860,Santiago Gimenez,MEX,FW,0,0,117
861,Tyler Bindon,NZL,DF,0,0,120
862,Lee Taeseok,KOR,DF,0,0,120
863,Salih Ozcan,TUR,MF,0,0,120
864,Dostonbek Khamdamov,UZB,MF,0,0,120
865,Joao Paulo,CPV,MF,0,0,121
866,Samir El Mourabet,MAR,MF,0,0,121
867,Leon Goretzka,GER,MF,0,0,122
868,Hwang Heechan,KOR,MF,0,0,123
869,David Raum,GER,DF,0,0,123
870,Elias Saad,TUN,FW,0,0,124
871,Jaouen Hadjam,ALG,DF,0,0,125
872,Lee Jaesung,KOR,MF,0,0,125
873,Igor Matanovic,CRO,FW,0,0,125
874,Jacob Shaffelburg,CAN,MF,0,0,126
875,Ramiz Zerrouki,ALG,MF,0,0,126
876,Marcos Senesi,ARG,DF,0,0,126
877,Zaid Ismael,IRQ,MF,0,0,126
878,Amadou Onana,BEL,MF,0,0,127
879,Elye Wahi,CIV,FW,0,0,127
880,Warren Zaire Emery,FRA,MF,0,0,128
881,Louicius Deedson,HAI,FW,0,0,129
882,Jayden Adams,RSA,MF,0,0,130
883,Mert Muldur,TUR,DF,0,0,132
884,Bernardo Silva,POR,MF,0,0,133
885,Eren Elmali,TUR,DF,0,0,134
886,Homam Ahmed,QAT,DF,0,0,134
887,Lenny Joseph,HAI,FW,0,0,134
888,Ahmed Qasem,IRQ,FW,0,0,135
889,Kamaldeen Sulemana,GHA,FW,0,0,136
890,Angelo Preciado,ECU,DF,0,0,137
891,Lukas Provod,CZE,MF,0,0,137
892,Inaki Williams,GHA,FW,0,0,140
893,Assim Madibo,QAT,MF,0,0,140
894,Azizjon Ganiev,UZB,MF,0,0,140
895,Ismael Gharbi,TUN,MF,0,0,142
896,Jaroslav Zeleny,CZE,DF,0,0,142
897,Hicham Boudaoui,ALG,MF,0,0,143
898,Malo Gusto,FRA,DF,0,0,143
899,Raphinha,BRA,FW,0,0,143
900,Kerem Akturkoglu,TUR,FW,0,0,143
901,Kenny Mclean,SCO,MF,0,0,144
902,Ali Jasim,IRQ,FW,0,0,144
903,Teun Koopmeiners,NED,MF,0,0,145
904,Endrick,BRA,FW,0,0,146
905,Jesper Karlstrom,SWE,MF,0,0,147
906,Niko Sigur,CAN,DF,0,0,147
907,Jovane Cabral,CPV,MF,0,0,148
908,Ahmed Basil,IRQ,GK,0,0,149
909,Benjamin Nygren,SWE,MF,0,0,149
910,Cameron Burgess,AUS,DF,0,0,152
911,Tomas Soucek,CZE,MF,0,0,152
912,Mahmoud Almardi,JOR,FW,0,0,152
913,Ismail Yuksek,TUR,MF,0,0,153
914,Mohammed Abu Alshamat,KSA,DF,0,0,153
915,Hossein Kanani,IRN,DF,0,0,154
916,Jalal Hassan,IRQ,GK,0,0,154
917,Lawrence Ati Zigi,GHA,GK,0,0,155
918,Khojiakbar Alijonov,UZB,DF,0,0,155
919,Willy Semedo,CPV,MF,0,0,156
920,Mario Pasalic,CRO,MF,0,0,158
921,Che Adams,SCO,FW,0,0,160
922,Phillip Mwene,AUT,DF,0,0,160
923,Ismael Kone,CAN,MF,0,0,160
924,Rani Khedira,TUN,MF,0,0,162
925,Abdul Fatawu,GHA,FW,0,0,163
926,Ahmed Fathy,QAT,MF,0,0,163
927,Nathanael Mbuku,COD,MF,0,0,163
928,Francisco Conceicao,POR,FW,0,0,163
929,Odeh Fakhoury,JOR,FW,0,0,163
930,Nelson Semedo,POR,DF,0,0,164
931,Zaid Tahseen,IRQ,DF,0,0,165
932,Elisha Owusu,GHA,MF,0,0,166
933,Jassem Gaber,QAT,DF,0,0,166
934,Sultan Albrake,QAT,DF,0,0,167
935,Musab Aljuwayr,KSA,MF,0,0,167
936,Frantzdy Pierrot,HAI,FW,0,0,168
937,Rayan Cherki,FRA,MF,0,0,169
938,Tomas Holes,CZE,DF,0,0,169
939,Gabriel Avalos,PAR,FW,0,0,170
940,Ayoub Aloui,QAT,DF,0,0,170
941,Carlens Arcus,HAI,DF,0,0,171
942,Adam Hlozek,CZE,FW,0,0,172
943,Lukas Cerv,CZE,MF,0,0,172
944,Edouard Mendy,SEN,GK,0,0,172
945,Zeki Celik,TUR,DF,0,0,173
946,Callum Mccowatt,NZL,MF,0,0,173
947,Hussein Ali,IRQ,DF,0,0,174
948,Sofyan Amrabat,MAR,MF,0,0,175
949,Richard Rios,COL,MF,0,0,175
950,Jose Fajardo,PAN,FW,0,0,176
951,Liam Millar,CAN,MF,0,0,176
952,Michel Aebischer,SUI,MF,0,0,176
953,Edo Kayembe,COD,MF,0,0,177
954,Josko Gvardiol,CRO,DF,0,0,177
955,Ali Lajami,KSA,DF,0,0,177
956,Ferdi Kadioglu,TUR,DF,0,0,179
957,Cristian Volpato,AUS,FW,0,0,180
958,Jurien Gaari,CUW,DF,0,0,180
959,Nuno Da Costa,CPV,MF,0,0,180
960,Kalidou Koulibaly,SEN,DF,0,0,181
961,Yukinari Sugawara,JPN,DF,0,0,181
962,Iqraam Rayners,RSA,FW,0,0,182
963,Darwin Nunez,URU,FW,0,0,182
964,Mohamed Toure,AUS,FW,0,0,182
965,Jacob Italiano,AUS,DF,0,0,183
966,Elliot Stroud,SWE,DF,0,0,183
967,Lawrence Shankland,SCO,FW,0,0,183
968,Son Heungmin,KOR,FW,0,0,183
969,Relebohile Mofokeng,RSA,FW,0,0,184
970,Jiovany Ramos,PAN,DF,0,0,186
971,Cesar Blackman,PAN,DF,0,0,187
972,Laros Duarte,CPV,MF,0,0,187
973,Nathan Ake,NED,DF,0,0,189
974,Husam Abudahab,JOR,DF,0,0,190
975,Joshua Brenet,CUW,DF,0,0,193
976,Dodi Lukebakio,BEL,FW,0,0,194
977,Edin Dzeko,BIH,FW,0,0,196
978,Donyell Malen,NED,FW,0,0,197
979,Manuel Ugarte,URU,MF,0,0,197
980,Aymen Dahmen,TUN,GK,0,0,198
981,Jose Canale,PAR,DF,0,0,198
982,Dailon Livramento,CPV,FW,0,0,198
983,Patrik Schick,CZE,FW,0,0,199
984,Jacob Widell Zetterstrom,SWE,GK,0,0,200
985,Kristoffer Nordfeldt,SWE,GK,0,0,200
986,Ali Alhamadi,IRQ,FW,0,0,201
987,Steve Kapuadi,COD,DF,0,0,201
988,El Hadji Malick Diouf,SEN,DF,0,0,202
989,Behruzjon Karimov,UZB,DF,0,0,203
990,Abdullah Alkhaibari,KSA,MF,0,0,203
991,Grant Hanley,SCO,DF,0,0,203
992,Nathan Patterson,SCO,DF,0,0,204
993,Ben Gannon Doak,SCO,FW,0,0,204
994,Sherzod Nasrullaev,UZB,DF,0,0,206
995,Abduvohid Nematov,UZB,GK,0,0,206
996,Abdulla Abdullaev,UZB,DF,0,0,206
997,Philipp Lienhart,AUT,DF,0,0,207
998,Takehiro Tomiyasu,JPN,DF,0,0,208
999,Redouane Halhal,MAR,DF,0,0,208
1000,Josue Casimir,HAI,FW,0,0,208
1001,Hakan Calhanoglu,TUR,MF,0,0,208
1001,Merih Demiral,TUR,DF,0,0,208
1003,Jarell Quansah,ENG,DF,0,0,208
1004,Pavel Sulc,CZE,FW,0,0,209
1005,Zidane Iqbal,IRQ,MF,0,0,210
1006,Cedric Bakambu,COD,FW,0,0,210
1007,Silvan Widmer,SUI,DF,0,0,210
1008,Stjepan Radeljic,BIH,DF,0,0,211
1009,Federico Vinas,URU,FW,0,0,211
1010,Moteb Alharbi,KSA,DF,0,0,213
1011,Paik Seungho,KOR,MF,0,0,216
1012,Damian Bobadilla,PAR,MF,0,0,216
1013,Giuliano Simeone,ARG,FW,0,0,217
1014,Joao Felix,POR,FW,0,0,218
1015,Ngalayel Mukau,COD,MF,0,0,220
1016,Moise Bombito,CAN,DF,0,0,221
1017,Ivan Sunjic,BIH,MF,0,0,221
1018,Mohamed Amine Ben Hmida,TUN,DF,0,0,221
1019,Ao Tanaka,JPN,MF,0,0,225
1020,Brian Gutierrez,MEX,MF,0,0,226
1021,Sarpreet Singh,NZL,MF,0,0,227
1022,Saman Ghoddos,IRN,MF,0,0,228
1023,Nasser Aldawsari,KSA,MF,0,0,230
1024,Pathe Ciss,SEN,MF,0,0,232
1025,Lucas Herrington,AUS,DF,0,0,232
1026,Alexander Bernhardsson,SWE,DF,0,0,233
1027,Milad Mohammadi,IRN,DF,0,0,235
1028,Gilberto Mora,MEX,MF,0,0,236
1029,Michael Boxall,NZL,DF,0,0,237
1030,Ruben Providence,HAI,FW,0,0,237
1031,Israel Reyes,MEX,DF,0,0,237
1032,Juan Manuel Sanabria,URU,MF,0,0,237
1033,Liberato Cacace,NZL,DF,0,0,237
1034,Isak Hien,SWE,DF,0,0,237
1035,Hassan Altambakti,KSA,DF,0,0,237
1036,Anass Salah Eddine,MAR,DF,0,0,240
1037,Christ Inao Oulai,CIV,MF,0,0,240
1038,Evidence Makgopa,RSA,FW,0,0,241
1039,Aziz Behich,AUS,DF,0,0,245
1040,Ricardo Pepi,USA,FW,0,0,247
1041,Julian Ryerson,NOR,FW,0,0,248
1042,Kenan Yildiz,TUR,FW,0,0,249
1043,Juergen Locadia,CUW,FW,0,0,250
1044,Jose Luis Rodriguez,PAN,MF,0,0,251
1045,Sphephelo Sithole,RSA,MF,0,0,252
1046,Joel Ordonez,ECU,DF,0,0,253
1047,Amar Memic,BIH,MF,0,0,254
1048,Jackson Irvine,AUS,MF,0,0,255
1049,Andy Robertson,SCO,DF,0,0,255
1050,Mohamed Kanno,KSA,MF,0,0,256
1051,Ismail Jakobs,SEN,DF,0,0,257
1052,Jonas Adjetey,GHA,DF,0,0,257
1053,Anis Slimane,TUN,MF,0,0,257
1054,Ali Ahmed,CAN,FW,0,0,258
1055,Ange Yoan Bonny,CIV,FW,0,0,258
1056,Benjamin Asare,GHA,GK,0,0,259
1057,Ibrahim Bayesh,IRQ,MF,0,0,259
1058,Deveron Fonville,CUW,DF,0,0,260
1059,Hamdy Fathy,EGY,MF,0,0,260
1060,Fernando Muslera,URU,GK,0,0,261
1061,Feras Albrikan,KSA,FW,0,0,262
1062,Esmir Bajraktarevic,BIH,FW,0,0,262
1063,Cristian Martinez,PAN,MF,0,0,264
1064,Benjamin Tahirovic,BIH,MF,0,0,266
1065,Tahith Chong,CUW,MF,0,0,267
1066,Shogo Taniguchi,JPN,DF,0,0,267
1067,Ellyes Skhiri,TUN,MF,0,0,267
1068,Thiago Almada,ARG,FW,0,0,267
1069,Otabek Shukurov,UZB,MF,0,0,268
1070,Arthur Theate,BEL,DF,0,0,268
1071,Kim Minjae,KOR,DF,0,0,268
1072,Akram Afif,QAT,FW,0,0,269
1073,Alan Franco,ECU,MF,0,0,270
1074,Paul Wanner,AUT,MF,0,0,270
1075,Edgar Yoel Barcenas,PAN,MF,0,0,272
1076,Federico Valverde,URU,MF,0,0,272
1077,Yan Valery,TUN,DF,0,0,274
1078,Seol Youngwoo,KOR,DF,0,0,274
1079,Joe Bell,NZL,MF,0,0,275
1080,Salem Aldawsari,KSA,FW,0,0,276
1081,Maxence Lacroix,FRA,DF,0,0,276
1082,Djibril Sow,SUI,MF,0,0,276
1083,Edson Alvarez,MEX,DF,0,0,278
1084,Oscar Bobb,NOR,MF,0,0,279
1085,Juninho Bacuna,CUW,MF,0,0,280
1086,Kwasi Sibo,GHA,MF,0,0,282
1087,Kevin Danso,AUT,DF,0,0,284
1088,Abdallah Nasib,JOR,DF,0,0,287
1089,Mory Diaw,SEN,GK,0,0,287
1090,Oswin Appollis,RSA,FW,0,0,287
1091,Rustam Ashurmatov,UZB,DF,0,0,288
1092,Danley Jean Jacques,HAI,MF,0,0,288
1093,Tani Oluwaseyi,CAN,FW,0,0,288
1094,Micky Van De Ven,NED,DF,0,0,291
1095,Jean Ricner Bellegarde,HAI,MF,0,0,292
1096,Tarik Muharemovic,BIH,DF,0,0,292
1097,Ali Abdi,TUN,DF,0,0,293
1098,Mehdi Taremi,IRN,FW,0,0,293
1099,Gustavo Velazquez,PAR,DF,0,0,293
1100,Thalente Mbatha,RSA,MF,0,0,293
1101,Carlos Harvey,PAN,DF,0,0,295
1102,Mohannad Abutaha,JOR,MF,0,0,296
1103,Theo Hernandez,FRA,DF,0,0,296
1104,Noah Sadiki,COD,MF,0,0,297
1105,Saeid Ezatolahi,IRN,MF,0,0,298
1106,Montassar Talbi,TUN,DF,0,0,298
1107,Kim Seunggyu,KOR,GK,0,0,300
1107,Lee Hanbeom,KOR,DF,0,0,300
1107,Lee Gihyuk,KOR,MF,0,0,300
1110,Aleksandar Pavlovic,GER,MF,0,0,300
1111,Abdulkerim Bardakci,TUR,DF,0,0,300
1112,Leandro Bacuna,CUW,MF,0,0,300
1112,Sherel Floranus,CUW,DF,0,0,300
1112,Armando Obispo,CUW,DF,0,0,300
1112,Eloy Room,CUW,GK,0,0,300
1116,Saud Abdulhamid,KSA,DF,0,0,300
1117,Antonio Ruediger,GER,DF,0,0,300
1118,Robin Hranac,CZE,DF,0,0,301
1118,Matej Kovar,CZE,GK,0,0,301
1120,Ahmed Fatouh,EGY,DF,0,0,301
1121,Luca Zidane,ALG,GK,0,0,302
1122,Marko Stamenic,NZL,MF,0,0,302
1123,Ghislain Konan,CIV,DF,0,0,303
1124,Andres Andrade,PAN,DF,0,0,303
1124,Jose Cordoba,PAN,DF,0,0,303
1124,Orlando Mosquera,PAN,GK,0,0,303
1124,Amir Murillo,PAN,DF,0,0,303
1128,Akam Hashim,IRQ,DF,0,0,303
1128,Merchas Doski,IRQ,DF,0,0,303
1130,Miguel Almiron,PAR,MF,0,0,306
1131,Mohammed Alowais,KSA,GK,0,0,306
1132,Max Crocombe,NZL,GK,0,0,306
1133,Lewis Ferguson,SCO,MF,0,0,306
1133,Angus Gunn,SCO,GK,0,0,306
1133,Jack Hendry,SCO,DF,0,0,306
1133,Scott Mctominay,SCO,MF,0,0,306
1137,Ricardo Ade,HAI,DF,0,0,306
1137,Hannes Delcroix,HAI,DF,0,0,306
1137,Martin Experience,HAI,DF,0,0,306
1137,Johny Placide,HAI,GK,0,0,306
1141,Thomas Partey,GHA,MF,0,0,307
1142,Nicolas Otamendi,ARG,DF,0,0,308
1143,Emmanuel Agbadou,CIV,DF,0,0,308
1144,Yazeed Abulaila,JOR,GK,0,0,309
1144,Yazan Alarab,JOR,DF,0,0,309
1146,Shoja Khalilzadeh,IRN,DF,0,0,309
1146,Ali Nemati,IRN,DF,0,0,309
1146,Alireza Beiranvand,IRN,GK,0,0,309
1149,Mahmoud Abunada,QAT,GK,0,0,310
1149,Pedro Miguel,QAT,DF,0,0,310
1149,Boualem Khoukhi,QAT,DF,0,0,310
1149,Issa Laye,QAT,DF,0,0,310
1153,Amar Dedic,BIH,DF,0,0,310
1154,Guela Doue,CIV,DF,0,0,311
1155,Marin Pongracic,CRO,DF,0,0,311
1156,Enner Valencia,ECU,FW,0,0,311
1157,Abdukodir Khusanov,UZB,DF,0,0,311
1158,Marvin Senaya,GHA,DF,0,0,312
1159,Rodrigo Bentancur,URU,MF,0,0,313
1159,Sebastian Caceres,URU,DF,0,0,313
1159,Mathias Olivera,URU,DF,0,0,313
1159,Guillermo Varela,URU,DF,0,0,313
1163,Nabil Bentaleb,ALG,MF,0,0,313
1164,Ugurcan Cakir,TUR,GK,0,0,313
1165,Jerome Opoku,GHA,DF,0,0,313
1166,Jamiro Monteiro,CPV,MF,0,0,314
1167,Noni Madueke,ENG,FW,0,0,315
1168,Rayan Ait Nouri,ALG,DF,0,0,315
1169,Odilon Kossounou,CIV,DF,0,0,316
1170,Jordan Ayew,GHA,FW,0,0,323
1171,John Yeboah,ECU,FW,0,0,330
1172,Diego Gomez,PAR,MF,0,0,332
1173,Fabian Rieder,SUI,MF,0,0,332
1174,Sergino Dest,USA,DF,0,0,335
1175,James Rodriguez,COL,MF,0,0,338
1176,Jeremy Doku,BEL,FW,0,0,341
1177,Jordan Bos,AUS,DF,0,0,343
1178,Steven Moreira,CPV,DF,0,0,346
1179,Cesar Montes,MEX,DF,0,0,349
1180,Derek Cornelius,CAN,DF,0,0,351
1181,Nikola Katic,BIH,DF,0,0,353
1182,Fredrik Aursnes,NOR,MF,0,0,355
1183,Gabriel Gudmundsson,SWE,DF,0,0,356
1184,Samuel Moutoussamy,COD,MF,0,0,360
1185,Frenkie De Jong,NED,MF,0,0,360
1186,Nicolas Seiwald,AUT,MF,0,0,361
1187,Omar Alderete,PAR,DF,0,0,363
1188,Alexander Sorloth,NOR,FW,0,0,363
1189,Reece James,ENG,DF,0,0,368
1190,Omar Marmoush,EGY,FW,0,0,369
1191,Stefan Posch,AUT,DF,0,0,370
1192,Nathan Ngoy,BEL,DF,0,0,376
1193,Piero Hincapie,ECU,DF,0,0,376
1194,John Stones,ENG,DF,0,0,380
1195,Aubrey Modiba,RSA,DF,0,0,381
1196,Ibrahim Maza,ALG,MF,0,0,389
1197,Victor Lindelof,SWE,DF,0,0,390
1198,Denis Zakaria,SUI,MF,0,0,392
1199,Tyler Adams,USA,MF,0,0,397
1200,Antonee Robinson,USA,DF,0,0,399
1201,Aaron Wan Bissaka,COD,DF,0,0,399
1202,Ermedin Demirovic,BIH,FW,0,0,399
1203,Gustaf Lagerbielke,SWE,DF,0,0,400
1204,Tajon Buchanan,CAN,FW,0,0,401
1205,Mbekezeli Mbokazi,RSA,DF,0,0,402
1205,Khuliso Mudau,RSA,DF,0,0,402
1205,Ime Okon,RSA,DF,0,0,402
1205,Ronwen Williams,RSA,GK,0,0,402
1209,Ramy Bensebaini,ALG,DF,0,0,403
